Province,Constituency,Name,Gender,Party,Votes
Mashonaland West,Zvimba West,Mbaimbai Ephraim,M,MDC-A,2228
Mashonaland West,Zvimba West,Tanyanyiwa Mekia,M,IND,3669
Mashonaland West,Zvimba West,Zinyakatira Maxwell,M,PRC,155
Mashonaland West,Zvimba West,Ziyambi Ziyambi,M,ZANU-PF,6902
Masvingo,Bikita East,Madhuku Johnson,M,ZANU-PF,10261
Masvingo,Bikita East,Mudzingwa Bornface,M,MDC-A,8542
Masvingo,Bikita East,Ngarivhume Jacob Chengedzeni Satiya,M,MDC-A,638
Masvingo,Bikita East,Rambe Ernest,M,NCA,76
Masvingo,Bikita South,Jaboon Jeppy,M,MDC-A,3587
Masvingo,Bikita South,Mukatawa Tawanda,M,MDC-T,792
Masvingo,Bikita South,Mukuwe Robert,M,PRC,342
Masvingo,Bikita South,Nyajena Charles,M,IND,1815
Masvingo,Bikita South,Sithole Josiah,M,ZANU-PF,10559
Masvingo,Bikita South,Ziki Dennis Anyway,M,NCA,88
Masvingo,Bikita West,Bhadharai Kudakwashe,M,MDC-A,7409
Masvingo,Bikita West,Chivasa Madock Tatirai,M,NCA,463
Masvingo,Bikita West,Katema Benjamin,M,MDC-T,592
Masvingo,Bikita West,Musakwa Elia,M,ZANU-PF,12991
Masvingo,Chiredzi East,Makuni Sure,M,MDC-A,3889
Masvingo,Chiredzi East,Masiya Denford,M,ZANU-PF,11052
Masvingo,Chiredzi North,Bhilla Royi,M,ZANU-PF,35893
Masvingo,Chiredzi North,Chiturumani Joseph,M,NPF,1291
Masvingo,Chiredzi North,Machiva Faith,F,ZIPP,635
Masvingo,Chiredzi South,Chinhavi Jephias,M,IND,780
Masvingo,Chiredzi South,Gwanetsa Kalisto Killion,M,ZANU-PF,9710
Masvingo,Chiredzi South,Shumba Sithembinkosi,M,MDC-T,431
Masvingo,Chiredzi South,Tsumele Patrick,M,MDC-A,1936
Masvingo,Chiredzi West,Baloyi Simbarashe,M,IND,2493
Masvingo,Chiredzi West,Bhebhe Livison,M,IND,335
Masvingo,Chiredzi West,Chiwa Darlington,M,IND,2361
Masvingo,Chiredzi West,Majekwana Fungisai,F,ZIPP,220
Masvingo,Chiredzi West,Makonese Samson Alphonce,M,NPF,259
Masvingo,Chiredzi West,Manganye John,M,IND,890
Masvingo,Chiredzi West,Musikavanhu Dumo Augustine,M,ZANU-PF,15759
Masvingo,Chiredzi West,Temba Stanley,M,MDC-A,10508
Masvingo,Chivi Central,Chinjakanja Joseph,M,MDC-T,892
Masvingo,Chivi Central,Chivhanga Henry,M,MDC-A,4694
Masvingo,Chivi Central,Gwanongodza Ephraim,M,ZANU-PF,14186
Masvingo,Chivi Central,Mbangure Clophas,M,ZIPP,214
Masvingo,Chivi Central,Mbenganai Esau,M,NCA,90
Masvingo,Chivi Central,Sharara Brighton,M,PRCOPP,194
Masvingo,Chivi North,Mapipi Dickson,M,MDC-A,4905
Masvingo,Chivi North,Mudzivo Owen,M,PRZ,494
Masvingo,Chivi North,Tongofa Mathias,M,ZANU-PF,10627
Masvingo,Chivi South,Dzingirai Ivene,M,IND,1823
Masvingo,Chivi South,Madzimure Tarisai,F,PRC,226
Masvingo,Chivi South,Malunguza Sharon,F,RPZ,184
Masvingo,Chivi South,Mhlolo Paul Thompson,M,MDC-A,3312
Masvingo,Chivi South,Zivhu Killer,M,ZANU-PF,13330
Masvingo,Chivi South,Zizhou Togarepi,M,ZIPP,248
Masvingo,Gutu Central,Bikoloni Shillah,F,BZA,128
Masvingo,Gutu Central,Chitando Wiston,M,ZANU-PF,11496
Masvingo,Gutu Central,Mafuratidze Last,M,PRC,163
Masvingo,Gutu Central,Mandigo Enerst,M,MDC-A,3805
Masvingo,Gutu Central,Musoni Crispa Zvovuno,M,MDC-A,1048
Masvingo,Gutu Central,Rugwaro Pias,M,MDC-T,14
Masvingo,Gutu East,Chikwama Berta,F,ZANU-PF,7203
Masvingo,Gutu East,Chirume Kuraoga Godfrey,M,MDC-T,1045
Masvingo,Gutu East,Marwiza Jackson,M,MDC-A,5020
